fare_id,route_id,origin_id,destination_id,contains_id
b,1000,,,
b,1010,,,
b,1020,,,
b,1030,,,
b,1040,,,
b,1050,,,
b,1060,,,
b,1070,,,
b,1080,,,
b,1090,,,
b,1100,,,
b,1110,,,
b,1120,,,
b,1130,,,
b,1140,,,
b,1150,,,
b,1160,,,
b,1170,,,
b,1180,,,
b,1190,,,
b,1200,,,
b,1210,,,
b,1220,,,
b,1230,,,
b,1240,,,
b,1250,,,
b,1260,,,
b,1270,,,
b,1280,,,
b,1290,,,
b,1300,,,
b,1310,,,
b,1320,,,
b,1330,,,
b,1340,,,
b,1350,,,
b,1360,,,
b,1370,,,
b,1380,,,
b,1390,,,
b,1400,,,
b,1410,,,
b,1420,,,
b,1430,,,
b,1440,,,
b,1450,,,
b,1460,,,
b,1470,,,
b,1480,,,
b,1490,,,
b,1500,,,
b,1510,,,
b,1520,,,
b,1530,,,
b,1540,,,
b,1550,,,
b,1560,,,
b,1570,,,
b,1580,,,
a,1590,,,
a,1600,,,
a,1610,,,
a,1620,,,
a,1630,,,
a,1640,,,
b,1650,,,
b,1660,,,
b,1670,,,
b,1680,,,
b,1690,,,
b,1700,,,
b,1710,,,
b,1720,,,
b,1730,,,
b,1740,,,
b,1750,,,
b,1760,,,
b,1770,,,
b,1780,,,
b,1790,,,
b,1800,,,
b,1810,,,
b,1820,,,
b,1830,,,
b,1840,,,
b,1850,,,
b,1860,,,
b,1870,,,
b,1880,,,
b,1890,,,
b,1900,,,
b,1910,,,
b,1920,,,
c,1930,,,
b,1940,,,
c,1950,,,
c,1960,,,
c,1970,,,
c,1980,,,
c,1990,,,
c,2000,,,
b,2010,,,
b,2020,,,
